Name,Ratings,Category
"1. Badshahi Mosque","894","Religious Sites"
"2. Wagah Border","625","Points of Interest & Landmarks"
"3. Lahore Guided tours","222","Historic Sites • Historic Walking Areas"
"4. Lahore Fort","512","Castles"
"5. Playdium Avenue Mall","30","Amusement & Theme Parks • Game & Entertainment Centers"
"6. Emporium Mall","117","Shopping Malls"
"7. Minar-e-Pakistan","182","Points of Interest & Landmarks • Monuments & Statues"
"8. Lahore Museum","216","Speciality Museums"
"9. Sozo Water Park","52","Water Parks"
"10. Walled City of Lahore Authority","68","Points of Interest & Landmarks"
"11. Liberty Market","48","Flea & Street Markets"
"12. Shalimar Bagh (Shalimar Gardens)","96","Gardens"
"13. Fortress Stadium","52","Shopping Malls"
"14. Masjid Wazir Khan","219","Points of Interest & Landmarks"
"15. Army Museum","55","Military Museums • Speciality Museums"
"16. Bagh-e-Jinnah","99","Parks"
"17. Jilani Park","72","Parks"
"18. Food Street Fort Road","72","Points of Interest & Landmarks"
"19. Anarkali Bazaar","48","Neighborhoods"
"20. Lahore Zoo Safari","77","Zoos"
"21. Jehangir's Tomb & Kamran's Baradari Pavilion","74","Parks • Monuments & Statues"
"22. Gulshan-e-Iqbal Park","27","Parks"
"23. Packages Mall","46","Shopping Malls"
"24. Joyland","18","Amusement & Theme Parks"
"25. Aitchison College Lahore","44","Points of Interest & Landmarks"
"26. Delhi Gate","36","Historic Sites • Points of Interest & Landmarks"
"27. Amanah Mall","23","Shopping Malls"
"28. Shahi Qila Lahore","6","Ancient Ruins • Architectural Buildings"
"29. Fort and Shalamar Gardens","110","Points of Interest & Landmarks • Gardens"
"30. Wazir Khan Hammam","49","Historic Sites"